#MCS	ActivatedTCell_Wall_contact_area	Total_cell_Wall_contact_area
89900	2384.0	2384.0
90000	2384.0	2384.0
90100	2371.0	2371.0
90200	2378.0	2378.0
90300	2381.0	2381.0
90400	2389.0	2389.0
90500	2366.0	2366.0
90600	2369.0	2369.0
90700	2378.0	2378.0
90800	2373.0	2373.0
90900	2386.0	2386.0
91000	2379.0	2379.0
91100	2407.0	2407.0
91200	2418.0	2418.0
91300	2424.0	2424.0
91400	2412.0	2412.0
91500	2453.0	2453.0
91600	2438.0	2438.0
91700	2464.0	2464.0
91800	2451.0	2451.0
91900	2440.0	2440.0
92000	2460.0	2460.0
92100	2462.0	2462.0
92200	2456.0	2456.0
92300	2460.0	2460.0
92400	2472.0	2472.0
92500	2480.0	2480.0
92600	2486.0	2486.0
92700	2476.0	2476.0
92800	2486.0	2486.0
92900	2504.0	2504.0
93000	2518.0	2518.0
93100	2484.0	2484.0
93200	2513.0	2513.0
93300	2506.0	2506.0
93400	2506.0	2506.0
93500	2499.0	2499.0
93600	2534.0	2534.0
93700	2518.0	2518.0
93800	2547.0	2547.0
93900	2525.0	2525.0
94000	2534.0	2534.0
94100	2549.0	2549.0
94200	2548.0	2548.0
94300	2568.0	2568.0
94400	2544.0	2544.0
94500	2564.0	2564.0
94600	2547.0	2547.0
94700	2552.0	2552.0
94800	2550.0	2550.0
94900	2566.0	2566.0
95000	2580.0	2580.0
95100	2566.0	2566.0
95200	2581.0	2581.0
95300	2579.0	2579.0
95400	2582.0	2582.0
95500	2596.0	2596.0
95600	2587.0	2587.0
95700	2606.0	2606.0
95800	2602.0	2602.0
95900	2602.0	2602.0
96000	2607.0	2607.0
96100	2608.0	2608.0
96200	2628.0	2628.0
96300	2630.0	2630.0
96400	2619.0	2619.0
96500	2622.0	2622.0
96600	2633.0	2633.0
96700	2606.0	2606.0
96800	2640.0	2640.0
96900	2625.0	2625.0
97000	2651.0	2651.0
97100	2646.0	2646.0
97200	2631.0	2631.0
97300	2660.0	2660.0
97400	2650.0	2650.0
97500	2673.0	2673.0
97600	2664.0	2664.0
97700	2657.0	2657.0
97800	2670.0	2670.0
97900	2688.0	2688.0
98000	2690.0	2690.0
98100	2681.0	2681.0
98200	2714.0	2714.0
98300	2705.0	2705.0
98400	2712.0	2712.0
98500	2734.0	2734.0
98600	2714.0	2714.0
98700	2737.0	2737.0
98800	2739.0	2739.0
98900	2729.0	2729.0
99000	2709.0	2709.0
99100	2739.0	2739.0
99200	2752.0	2752.0
99300	2752.0	2752.0
99400	2751.0	2751.0
99500	2768.0	2768.0
99600	2761.0	2761.0
99700	2738.0	2738.0
99800	2743.0	2743.0
99900	2753.0	2753.0
100000	2765.0	2765.0
100100	2769.0	2769.0
100200	2781.0	2781.0
100300	2784.0	2784.0
100400	2782.0	2782.0
100500	2794.0	2794.0
100600	2784.0	2784.0
100700	2795.0	2795.0
100800	2762.0	2762.0
100900	2814.0	2814.0
101000	2803.0	2803.0
101100	2799.0	2799.0
101200	2844.0	2844.0
101300	2831.0	2831.0
101400	2847.0	2847.0
101500	2854.0	2854.0
101600	2837.0	2837.0
101700	2850.0	2850.0
101800	2869.0	2869.0
101900	2859.0	2859.0
102000	2871.0	2871.0
102100	2881.0	2881.0
102200	2875.0	2875.0
102300	2874.0	2874.0
102400	2888.0	2888.0
102500	2863.0	2863.0
102600	2904.0	2904.0
102700	2885.0	2885.0
102800	2892.0	2892.0
102900	2909.0	2909.0
103000	2898.0	2898.0
103100	2900.0	2900.0
103200	2924.0	2924.0
103300	2911.0	2911.0
103400	2903.0	2903.0
103500	2924.0	2924.0
103600	2913.0	2913.0
103700	2919.0	2919.0
103800	2927.0	2927.0
103900	2922.0	2922.0
104000	2950.0	2950.0
104100	2920.0	2920.0
104200	2950.0	2950.0
104300	2943.0	2943.0
104400	2928.0	2928.0
104500	2953.0	2953.0
104600	2952.0	2952.0
104700	2960.0	2960.0
104800	2945.0	2945.0
104900	2956.0	2956.0
105000	2981.0	2981.0
105100	2966.0	2966.0
105200	2965.0	2965.0
105300	2997.0	2997.0
105400	2975.0	2975.0
105500	2997.0	2997.0
105600	2999.0	2999.0
105700	3003.0	3003.0
105800	3004.0	3004.0
105900	2992.0	2992.0
106000	3007.0	3007.0
106100	3016.0	3016.0
106200	3029.0	3029.0
106300	3013.0	3013.0
106400	3024.0	3024.0
106500	3021.0	3021.0
106600	3005.0	3005.0
106700	3042.0	3042.0
106800	3057.0	3057.0
106900	3052.0	3052.0
107000	3045.0	3045.0
107100	3065.0	3065.0
107200	3070.0	3070.0
107300	3062.0	3062.0
107400	3080.0	3080.0
107500	3081.0	3081.0
107600	3089.0	3089.0
107700	3072.0	3072.0
107800	3090.0	3090.0
107900	3098.0	3098.0
108000	3117.0	3117.0
108100	3123.0	3123.0
108200	3121.0	3121.0
108300	3140.0	3140.0
108400	3131.0	3131.0
108500	3100.0	3100.0
108600	3134.0	3134.0
108700	3124.0	3124.0
108800	3136.0	3136.0
108900	3133.0	3133.0
109000	3152.0	3152.0
109100	3145.0	3145.0
109200	3165.0	3165.0
109300	3169.0	3169.0
109400	3145.0	3145.0
109500	3165.0	3165.0
109600	3171.0	3171.0
109700	3179.0	3179.0
109800	3202.0	3202.0
109900	3187.0	3187.0
110000	3185.0	3185.0
110100	3212.0	3212.0
110200	3211.0	3211.0
110300	3224.0	3224.0
110400	3195.0	3195.0
110500	3217.0	3217.0
110600	3228.0	3228.0
110700	3218.0	3218.0
110800	3223.0	3223.0
110900	3230.0	3230.0
111000	3228.0	3228.0
111100	3238.0	3238.0
