#MCS	Mean_volume
115000	47.18214285714286
115100	47.11785714285714
115200	47.121428571428574
115300	47.239285714285714
115400	47.19928825622776
115500	47.23487544483986
115600	47.31672597864769
115700	47.54804270462633
115800	47.43971631205674
115900	47.351063829787236
116000	47.47163120567376
116100	47.24295774647887
116200	47.25
116300	47.25352112676056
116400	47.313380281690144
116500	47.37894736842105
116600	47.43157894736842
116700	47.28421052631579
116800	47.64912280701754
116900	47.60701754385965
117000	47.589473684210525
117100	47.57692307692308
117200	47.7972027972028
117300	47.76573426573427
117400	47.91608391608391
117500	47.81118881118881
117600	48.01398601398601
117700	48.03496503496503
117800	48.25174825174825
117900	48.08741258741259
118000	48.41608391608391
118100	48.28321678321678
118200	48.177700348432055
118300	47.930795847750865
118400	48.0242214532872
118500	47.86896551724138
118600	48.0448275862069
118700	48.09655172413793
118800	48.262068965517244
118900	48.3
119000	48.36896551724138
119100	48.29553264604811
119200	48.21232876712329
119300	48.22184300341297
119400	48.04095563139932
119500	47.98293515358362
119600	48.30716723549488
119700	48.173469387755105
119800	48.343537414965986
119900	48.40816326530612
120000	48.51700680272109
120100	48.48979591836735
120200	48.64965986394558
120300	48.8843537414966
120400	48.55593220338983
120500	48.60677966101695
120600	48.61616161616162
120700	48.67340067340067
120800	48.48821548821549
120900	48.63636363636363
121000	48.79124579124579
121100	48.78787878787879
121200	48.8013468013468
121300	48.966329966329965
121400	49.05050505050505
121500	49.31649831649832
121600	49.10437710437711
121700	49.35353535353536
121800	49.07382550335571
121900	48.98327759197324
122000	49.06020066889632
122100	48.986666666666665
122200	48.92358803986711
122300	48.7682119205298
122400	48.65016501650165
122500	48.759075907590756
122600	48.679867986798676
122700	48.867986798679866
122800	49.00330033003301
122900	49.039603960396036
123000	49.14191419141914
123100	49.16831683168317
123200	49.0953947368421
123300	49.10197368421053
123400	48.91803278688525
123500	48.80392156862745
123600	49.01960784313726
123700	49.14052287581699
123800	49.03257328990228
123900	48.87012987012987
124000	49.02597402597402
124100	49.035714285714285
124200	48.93527508090615
124300	48.86731391585761
124400	49.019417475728154
124500	48.93225806451613
124600	48.961290322580645
124700	49.14193548387097
124800	49.01929260450161
124900	48.94871794871795
125000	48.74121405750799
125100	48.75079872204473
125200	48.808306709265175
125300	48.926517571884986
125400	49.067092651757186
125500	49.191693290734825
125600	48.98407643312102
125700	49.197452229299365
125800	48.99363057324841
125900	49.095541401273884
126000	49.13968253968254
126100	48.892405063291136
126200	49.13607594936709
126300	49.12658227848101
126400	49.177215189873415
126500	49.174050632911396
126600	49.313291139240505
126700	49.11671924290221
126800	48.76802507836991
126900	48.540625
127000	48.757009345794394
127100	48.61801242236025
127200	48.57142857142857
127300	48.74223602484472
127400	48.407407407407405
127500	48.221538461538465
127600	48.40615384615385
127700	48.433846153846154
127800	48.392638036809814
127900	48.293577981651374
128000	48.22560975609756
128100	47.775757575757574
128200	47.66465256797583
128300	47.93051359516616
128400	47.90030211480362
128500	47.94259818731118
128600	47.903614457831324
128700	47.855421686746986
128800	48.00903614457831
128900	48.006006006006004
129000	48.01801801801802
129100	48.15915915915916
129200	48.132132132132135
129300	48.10778443113772
129400	48.16467065868263
129500	47.880239520958085
129600	48.211940298507464
129700	47.99107142857143
129800	48.044642857142854
129900	48.23809523809524
130000	48.04154302670623
130100	48.17210682492582
130200	47.99704142011834
130300	47.994082840236686
130400	48.180473372781066
130500	48.06804733727811
130600	48.094395280235986
130700	47.90029325513196
130800	47.96774193548387
130900	48.005847953216374
131000	48.00877192982456
131100	48.1140350877193
131200	48.03216374269006
131300	47.880466472303205
131400	47.86046511627907
131500	47.88405797101449
131600	47.53602305475504
131700	47.548850574712645
131800	47.392550143266476
131900	47.412607449856736
132000	47.2
132100	47.434285714285714
132200	47.46857142857143
132300	47.66
132400	47.66
132500	47.535612535612536
132600	47.64102564102564
132700	47.75213675213675
132800	47.53541076487252
132900	47.54674220963173
133000	47.59206798866855
133100	47.87252124645892
133200	47.88385269121813
133300	47.906515580736546
133400	47.90084985835694
133500	48.11898016997167
133600	48.039660056657226
133700	48.0819209039548
133800	48.19209039548023
133900	48.17231638418079
134000	48.1943661971831
134100	48.1943661971831
134200	48.28169014084507
134300	48.19154929577465
134400	48.2
134500	48.44225352112676
134600	48.566197183098595
134700	48.4056338028169
134800	48.46348314606742
134900	48.48033707865169
135000	48.46498599439776
135100	48.26536312849162
135200	48.270194986072426
135300	48.33983286908078
135400	48.38718662952646
135500	48.456824512534816
135600	48.53333333333333
135700	48.4
135800	48.611111111111114
135900	48.58888888888889
136000	48.56944444444444
136100	48.69722222222222
136200	48.958333333333336
136300	48.88055555555555
136400	48.70360110803324
136500	48.822714681440445
136600	48.988919667590025
136700	49.05540166204986
136800	49.0
136900	49.052486187845304
137000	48.79338842975206
137100	48.71978021978022
137200	48.62465753424657
137300	48.740437158469945
137400	48.34239130434783
137500	48.453804347826086
137600	48.52989130434783
137700	48.40108401084011
137800	48.59891598915989
137900	48.390243902439025
138000	48.64769647696477
138100	48.796747967479675
138200	48.78861788617886
138300	48.75067750677507
138400	48.64594594594595
138500	48.82702702702703
138600	48.73315363881402
138700	48.62903225806452
138800	48.44504021447721
138900	48.5668449197861
139000	48.63101604278075
139100	48.236702127659576
139200	48.43882978723404
139300	48.236074270557026
139400	48.16137566137566
139500	48.26190476190476
139600	48.47089947089947
139700	48.37301587301587
139800	48.64021164021164
139900	48.56878306878307
140000	48.339473684210525
140100	48.26701570680628
140200	47.90600522193211
140300	48.072916666666664
140400	48.09375
140500	48.078125
140600	48.109375
140700	48.116883116883116
140800	48.103896103896105
140900	48.31428571428572
141000	48.4
141100	48.423376623376626
141200	48.58701298701299
141300	48.48186528497409
141400	48.476683937823836
141500	48.52454780361757
141600	48.22879177377892
141700	48.19230769230769
141800	48.294871794871796
141900	47.9386189258312
142000	48.294117647058826
142100	48.21739130434783
142200	48.214833759590796
142300	48.152671755725194
142400	48.25445292620865
142500	48.076142131979694
