#MCS	Adhesion_energy
131500	386967.0
131600	387778.5
131700	387826.5
131800	387909.0
131900	388953.0
132000	387363.0
132100	388498.5
132200	388338.0
132300	388542.0
132400	389116.5
132500	390378.0
132600	390889.5
132700	392518.5
132800	389595.0
132900	392278.5
133000	391645.5
133100	393907.5
133200	393910.5
133300	392307.0
133400	393532.5
133500	393424.5
133600	394759.5
133700	392755.5
133800	394545.0
133900	392545.5
134000	393415.5
134100	393250.5
134200	392622.0
134300	393750.0
134400	395505.0
134500	394438.5
134600	395313.0
134700	398250.0
134800	396667.5
134900	396760.5
135000	397728.0
135100	399087.0
135200	398250.0
135300	399897.0
135400	398121.0
135500	399747.0
135600	400213.5
135700	401784.0
135800	401817.0
135900	401391.0
136000	400590.0
136100	402669.0
136200	401223.0
136300	402879.0
136400	400983.0
136500	401973.0
136600	403576.5
136700	405480.0
136800	405165.0
136900	405052.5
137000	404385.0
137100	404734.5
137200	405162.0
137300	406392.0
137400	406639.5
137500	406834.5
137600	407772.0
137700	407451.0
137800	408111.0
137900	409270.5
138000	408981.0
138100	409327.5
138200	410292.0
138300	410685.0
138400	409326.0
138500	410917.5
138600	411195.0
138700	412501.5
138800	410856.0
138900	410374.5
139000	410776.5
139100	414288.0
139200	413227.5
139300	411810.0
139400	413845.5
139500	414354.0
139600	415405.5
139700	414829.5
139800	416002.5
139900	415479.0
140000	417306.0
140100	415425.0
140200	415770.0
140300	415738.5
140400	417454.5
140500	417733.5
140600	418993.5
140700	416862.0
140800	419208.0
140900	419496.0
141000	418348.5
141100	419236.5
141200	419476.5
141300	420004.5
141400	419716.5
141500	421165.5
141600	420724.5
141700	420003.0
141800	420871.5
141900	423178.5
142000	422550.0
142100	421131.0
142200	423333.0
142300	422557.5
142400	423180.0
142500	424590.0
142600	422982.0
142700	425041.5
142800	423972.0
142900	424663.5
143000	425908.5
143100	427974.0
143200	427893.0
143300	427347.0
143400	430005.0
143500	430299.0
143600	429348.0
143700	430947.0
143800	429454.5
143900	430435.5
144000	432045.0
144100	430780.5
144200	430269.0
144300	431794.5
144400	431707.5
144500	432351.0
144600	433539.0
144700	434580.0
144800	435664.5
144900	433636.5
145000	436873.5
145100	436786.5
145200	436608.0
145300	436705.5
145400	436156.5
145500	437982.0
145600	437175.0
145700	439521.0
145800	438480.0
145900	439186.5
146000	439542.0
146100	440700.0
146200	442956.0
146300	440988.0
146400	440899.5
146500	442618.5
146600	441298.5
146700	442515.0
146800	441841.5
146900	443140.5
147000	442926.0
147100	443080.5
147200	444031.5
147300	444103.5
147400	445261.5
147500	445720.5
147600	447513.0
147700	444676.5
147800	447124.5
147900	447061.5
148000	447073.5
148100	448212.0
148200	450261.0
148300	449112.0
148400	449115.0
148500	449619.0
148600	449875.5
148700	450463.5
148800	449673.0
148900	450427.5
149000	451527.0
149100	451135.5
149200	451902.0
149300	452358.0
149400	452968.5
149500	453712.5
149600	453597.0
149700	456111.0
149800	454248.0
149900	456265.5
150000	457201.5
150100	456588.0
150200	456852.0
150300	457095.0
150400	457375.5
150500	457057.5
150600	457542.0
150700	459790.5
150800	459520.5
150900	459546.0
151000	457920.0
151100	459999.0
151200	459966.0
151300	460863.0
151400	460599.0
151500	461976.0
151600	461983.5
151700	462201.0
151800	463851.0
151900	462241.5
152000	463311.0
152100	463432.5
152200	464817.0
152300	464949.0
152400	465763.5
152500	466620.0
152600	465994.5
152700	468711.0
152800	465697.5
152900	467043.0
153000	469195.5
153100	467388.0
153200	466843.5
153300	467055.0
153400	469938.0
153500	471121.5
153600	470967.0
153700	471769.5
153800	471552.0
153900	471700.5
154000	471789.0
154100	472861.5
154200	472665.0
154300	474495.0
154400	474414.0
154500	476313.0
154600	473925.0
154700	475872.0
154800	477316.5
154900	476935.5
155000	476872.5
155100	476335.5
155200	477745.5
155300	477577.5
155400	478759.5
155500	479736.0
155600	478038.0
155700	479082.0
155800	480168.0
155900	482574.0
156000	482256.0
156100	480855.0
156200	482340.0
156300	482415.0
156400	482775.0
156500	483196.5
156600	482113.5
156700	484047.0
156800	484822.5
156900	486958.5
157000	486846.0
157100	487587.0
157200	487189.5
157300	487986.0
157400	487482.0
157500	488145.0
157600	489478.5
157700	487812.0
157800	489930.0
157900	487612.5
158000	491773.5
158100	490155.0
158200	490548.0
158300	491700.0
158400	490599.0
158500	492673.5
158600	491755.5
158700	493872.0
158800	493749.0
158900	494044.5
159000	492900.0
159100	494235.0
159200	491769.0
159300	495667.5
159400	496948.5
159500	497530.5
159600	495739.5
159700	493690.5
159800	498282.0
159900	497491.5
160000	497104.5
160100	497223.0
160200	497284.5
160300	498946.5
160400	499731.0
160500	499776.0
160600	499773.0
160700	500830.5
160800	501136.5
160900	503179.5
161000	502254.0
161100	501006.0
161200	500295.0
161300	502230.0
161400	502024.5
161500	502338.0
161600	504271.5
161700	502452.0
161800	502204.5
161900	504072.0
162000	506031.0
162100	503514.0
162200	504640.5
162300	506308.5
162400	506355.0
162500	506457.0
162600	507921.0
162700	507313.5
162800	508395.0
162900	509364.0
163000	508744.5
163100	509245.5
163200	507327.0
163300	509712.0
163400	508860.0
163500	509935.5
163600	510477.0
163700	511407.0
163800	513051.0
163900	510811.5
164000	512950.5
164100	513216.0
