#MCS	Mean_pressure	{Cells_over_pressure_threshold}
35800	35.011593701171684	43
35900	34.68752189204069	44
36000	34.50651174274749	37
36100	34.96571984743189	43
36200	34.093814624748546	35
36300	34.474993312872606	39
36400	34.96041174528267	49
36500	34.94439662947577	39
36600	34.75840236121721	42
36700	34.274002778153005	35
36800	34.53607180483329	44
36900	35.17662844724493	51
37000	35.02845281233561	50
37100	34.76757746034701	43
37200	34.940187640126005	44
37300	35.10885644364121	52
37400	34.12125330036253	38
37500	34.516283535042966	41
37600	34.652933766281166	44
37700	34.802478822477354	45
37800	34.80191289403317	44
37900	34.999377937592115	45
38000	34.888107987765714	47
38100	35.20315837379585	53
38200	34.94039708670961	47
38300	35.161428990478996	48
38400	35.11242937483623	47
38500	35.220534379779835	43
38600	35.40744744773228	50
38700	34.830086458833506	44
38800	35.34732422474869	50
38900	34.8756685515006	48
39000	35.008663253495534	44
39100	35.20760342773236	47
39200	35.136893121212694	53
39300	35.517829109402186	60
39400	35.706983256307815	58
39500	35.46688645359889	55
39600	35.2477440513511	47
39700	35.08555210898228	50
39800	35.29892299140411	52
39900	35.25407771830266	52
40000	35.282856295980636	48
40100	35.35104293427796	51
40200	35.4094996740624	53
40300	35.92022714873261	53
40400	35.51274089974897	53
40500	35.61952567646878	59
40600	35.904420245948025	58
40700	35.316640004611735	53
40800	35.23018409304044	51
40900	35.34063288716515	55
41000	35.575049034687666	52
41100	35.13223210483912	50
41200	34.80103844270415	49
41300	35.545596736031946	54
41400	35.62318442878045	54
41500	35.73222966216137	61
41600	35.63832812580004	57
41700	35.55080242055591	50
41800	35.699332314946815	52
41900	35.523184086835236	58
42000	35.86843398882217	60
42100	35.789173656271174	56
42200	35.948559504862615	58
42300	35.4817579536478	52
42400	35.867688061349156	56
42500	35.78246178498394	54
42600	35.475150368869535	52
42700	35.45529949258724	54
42800	35.693339148960376	56
42900	35.21808170667827	55
43000	35.85888046919051	67
43100	35.58387021112545	59
43200	35.90534207176015	64
43300	35.868544617583076	55
43400	35.486070479600656	55
43500	35.949757534031114	56
43600	35.81774343522829	59
43700	35.90659719105063	55
43800	35.99592562790352	60
43900	35.45958515876411	56
44000	35.57343630276397	57
44100	35.69301321629091	59
44200	35.814861362044766	62
44300	35.97008179752583	60
44400	35.89581751186244	60
44500	35.83679343632847	61
44600	35.82571482874486	61
44700	36.09258294790869	58
44800	35.93488259846388	60
44900	35.96308485678908	64
45000	35.80605600678024	60
45100	35.74752406744255	57
45200	36.00724496547597	61
45300	36.019414727251934	61
45400	35.70701681046865	58
45500	35.7513447545	59
45600	35.57547452190293	58
45700	35.98164665669699	62
45800	36.132159916135166	63
45900	35.71283612553063	59
46000	36.29567683355219	60
46100	35.59298682894434	63
46200	35.268199454562236	54
46300	35.48478048706921	60
46400	35.66171306068711	55
46500	35.64450667246995	63
46600	36.30636609153281	68
46700	35.685815163836715	59
46800	35.48172465534071	51
46900	35.261023697869426	55
47000	35.88163023347892	61
47100	35.745825002753875	60
47200	35.62722802741486	63
47300	35.891416007598785	59
47400	35.95854188981801	61
47500	35.95346151779962	63
47600	35.640767804583525	59
47700	35.878366770069256	63
47800	35.84955513458367	66
47900	35.40481729902775	60
48000	35.64173027641099	58
48100	35.66199401317926	60
48200	35.356333221021664	59
48300	35.86895805390326	64
48400	35.886566401270926	60
48500	35.42708416767373	64
48600	35.89583680116215	60
48700	36.346767664852784	66
48800	36.19208499318454	63
48900	35.89031463484794	66
49000	35.77524200453206	60
49100	35.473629275893465	61
49200	35.76662800185034	61
49300	35.777383610503094	65
49400	35.70697808969159	63
49500	35.68804905618003	61
49600	35.47287010208273	61
49700	35.770536552180424	63
49800	35.87111054530196	63
49900	36.155093177351056	68
50000	35.837549052222194	67
50100	35.679286095076	58
50200	35.604932796743235	57
50300	35.278061879792475	58
50400	35.08379934227209	62
50500	35.18523012384083	57
50600	35.889283903138704	66
50700	35.77058125575893	63
50800	35.44312708379172	60
50900	35.62311710512383	67
51000	35.71281495677171	63
51100	35.372149229807775	64
51200	35.681789643562446	65
51300	35.5902546226639	65
51400	35.698361480974526	63
51500	35.41234057282876	64
51600	35.30904576924813	67
51700	35.59959262086466	69
51800	35.84880927865147	68
51900	35.12597186292549	61
52000	35.296551406053275	61
52100	35.754394179265354	61
52200	35.031807440064576	59
52300	35.56930273427799	65
52400	35.32208043446829	64
52500	35.39205322799027	60
52600	35.40419875800757	69
52700	35.74213060165861	68
52800	35.05092750551506	62
52900	35.302895329964784	63
53000	35.45469070737878	63
53100	35.573633814819274	66
53200	35.257488314460176	62
53300	35.331475949591294	61
53400	34.99268949404759	58
53500	35.299096674866284	64
53600	35.50027479601653	61
53700	34.661111628734446	63
53800	35.42588018932106	65
53900	34.88561901692454	62
54000	35.028730951174616	61
54100	34.94311245807435	59
54200	34.76788999799145	59
54300	34.97898368878742	59
54400	34.95601517177166	58
54500	34.70762219117214	58
54600	35.379757597479404	68
54700	35.31233017227732	62
54800	34.9296581832709	59
54900	34.89896786461024	61
55000	35.34261450348698	61
55100	35.1114621841893	64
55200	35.57743792065763	64
55300	35.24131897512375	60
55400	35.70982591494677	66
55500	35.56834980961663	64
55600	35.20330249390078	63
55700	35.73024595192457	65
55800	35.520695852561275	67
55900	35.426024310126444	64
56000	35.449537061853235	63
56100	35.32625135799483	61
56200	35.010028194920096	55
56300	35.12796457758349	61
56400	35.00871363894932	63
56500	35.210749847188175	61
56600	35.15518459845642	58
56700	35.457290098417545	62
56800	35.804206158246814	58
56900	35.3353643551044	66
57000	35.174318635500974	63
57100	34.98564523195675	60
57200	35.445017291212665	63
57300	35.16652506529112	64
57400	35.37360176799738	63
57500	35.425322161885745	64
57600	35.35233085283688	60
57700	35.265994159543766	63
57800	35.20752845520964	60
57900	35.036637614733124	57
58000	35.707569208985625	64
58100	34.66467443979867	59
58200	35.66728973477245	66
58300	35.35914093082325	62
58400	34.77225984877396	57
58500	34.8374245792836	58
58600	35.593055310647365	62
58700	35.25535395962705	65
58800	35.25082222822523	61
58900	34.87450441026761	61
59000	35.33190866721695	63
59100	35.33457615281187	67
59200	35.08666501683653	58
59300	35.11567557951759	58
59400	35.11135993604495	61
59500	34.88516224900019	57
59600	35.01105682519271	64
59700	35.34445654062989	63
59800	35.16706457451503	60
59900	35.19009977316691	61
60000	34.76075709281502	60
60100	34.9306134193528	63
60200	34.81207505980982	61
60300	35.42426011960113	62
60400	35.58457686348952	68
60500	35.33415133551066	61
60600	35.49623940694231	63
60700	35.48293447082	65
60800	34.734127660459805	58
60900	35.0045055563362	62
61000	34.879638168737	60
61100	34.87797418913935	63
61200	35.16431805984069	63
61300	35.371290860152605	64
61400	34.920307946336756	61
61500	35.04712602769402	57
61600	34.64548545876245	57
61700	35.11701452928515	60
61800	35.23721393783799	63
61900	35.2700150303238	65
62000	35.4419591493764	64
62100	35.39242078212957	64
62200	35.153603735129956	67
62300	35.154639555799506	63
62400	35.30842455766143	61
62500	35.052562404656584	58
62600	34.96808739223955	59
62700	35.274215457536414	62
62800	34.899467858840914	63
62900	34.39251206191612	57
63000	34.89530578568223	60
63100	35.21597139740897	65
63200	35.174044530764796	66
63300	34.887578427365405	62
63400	35.57049905861302	63
63500	34.62598193519155	59
63600	35.226253896786524	64
63700	35.04451438191004	64
63800	35.25123529199577	66
63900	34.97326568870177	63
64000	34.75718448601793	61
64100	35.14217491070619	63
64200	34.95544098994308	64
64300	35.036748232290364	65
64400	34.99245477510001	62
64500	35.011052666202964	59
64600	35.253106310157726	62
64700	35.12858486711218	65
64800	35.05491086981948	62
64900	35.232312445305126	64
65000	34.72113618210512	60
65100	34.343430185760255	60
65200	34.73074385855232	63
65300	34.70061182874977	57
65400	35.16907786743617	64
65500	34.6737810365812	59
65600	34.766026319823	60
65700	34.43470959616207	55
65800	34.50146587593872	55
65900	35.36035200383324	69
66000	34.99493055094186	65
66100	35.24047621601293	63
66200	34.89910176086741	60
66300	34.956031668901325	63
66400	34.54988292654567	58
66500	34.673006147860335	59
66600	34.95411043000172	56
66700	34.68701945891623	62
66800	34.89727186986487	63
66900	35.15743637199754	66
67000	35.23857611048434	68
67100	34.614831849464004	58
67200	35.14013044558956	67
67300	35.017264063374256	64
67400	34.98598811298136	63
67500	34.76876863090968	59
67600	35.0987378457652	63
67700	34.66168784836333	63
67800	34.74439174693771	61
